CodeCli;NomCli;TelCli;MailCli;BudgetMax
1;Alex Duran;0629417400;AlexDuran@gmail.com;560720
2;Lauren Thomas;0637492120;LaurenThomas@gmail.com;828456
3;Amanda Johnson;0692747164;AmandaJohnson@gmail.com;557978
4;Jennifer David;0668421716;JenniferDavid@gmail.com;322312
5;Cindy Erickson;0648236955;CindyErickson@gmail.com;969243
6;Emily Calderon;0610686529;EmilyCalderon@gmail.com;923719
7;Peter Johnson;0654776611;PeterJohnson@gmail.com;474376
8;Karen Gonzalez;0681300318;KarenGonzalez@gmail.com;715938
9;Daniel Smith;0682747447;DanielSmith@gmail.com;780900
10;Robert Bates;0621177506;RobertBates@gmail.com;276954
11;Kimberly Nelson;0681136115;KimberlyNelson@gmail.com;399239
12;Tammy Silva;0669967754;TammySilva@gmail.com;309740
13;Cindy Wood;0676675165;CindyWood@gmail.com;40189
14;Rebecca Morales;0616566716;RebeccaMorales@gmail.com;86369
15;Jennifer Miller;0674370037;JenniferMiller@gmail.com;297827
16;John Hudson;0693524783;JohnHudson@gmail.com;919580
17;Robert Salinas;0690984391;RobertSalinas@gmail.com;588284
18;Michael Simmons;0683783431;MichaelSimmons@gmail.com;393775
19;Kristen Payne;0618426088;KristenPayne@gmail.com;474827
20;Natalie Miller;0684422861;NatalieMiller@gmail.com;933734
21;Sarah Moon;0657266681;SarahMoon@gmail.com;711624
22;Daniel Jones;0614222384;DanielJones@gmail.com;578735
23;Michael Wright;0622914056;MichaelWright@gmail.com;638798
24;Bailey Bernard;0615377065;BaileyBernard@gmail.com;398240
25;Erika Nguyen;0643937890;ErikaNguyen@gmail.com;406309
26;Joseph Jones;0693370645;JosephJones@gmail.com;632385
27;Sarah Cook;0678778675;SarahCook@gmail.com;165017
28;Christopher Potts;0610762795;ChristopherPotts@gmail.com;824613
29;Jocelyn Odonnell;0652191910;JocelynOdonnell@gmail.com;458950
30;Karen Long;0677364705;KarenLong@gmail.com;572698
31;Michelle Ward;0639284844;MichelleWard@gmail.com;715471
32;Peter Elliott;0696752753;PeterElliott@gmail.com;512366
33;Jasmine Porter;0617169721;JasminePorter@gmail.com;464028
34;Sarah Thornton;0650548416;SarahThornton@gmail.com;536997
35;Joseph Henry;0684231396;JosephHenry@gmail.com;160083
36;Joseph Lynch;0690786356;JosephLynch@gmail.com;381756
37;Brenda Barnes;0613905366;BrendaBarnes@gmail.com;812958
38;Claire Chapman;0661509544;ClaireChapman@gmail.com;342870
39;Billy Carpenter;0685429245;BillyCarpenter@gmail.com;805411
40;Lindsay Combs;0674826426;LindsayCombs@gmail.com;682833
41;Justin Thomas;0693809402;JustinThomas@gmail.com;538703
42;Christopher Carter;0694675119;ChristopherCarter@gmail.com;809015
43;Travis Townsend;0698360408;TravisTownsend@gmail.com;783214
44;Monique Vargas;0658326849;MoniqueVargas@gmail.com;874269
45;Joseph Jennings;0678845669;JosephJennings@gmail.com;847916
46;Donna Johnson;0670057032;DonnaJohnson@gmail.com;677676
47;Andrew Blankenship;0665568967;AndrewBlankenship@gmail.com;705307
48;Joseph Palmer;0679938971;JosephPalmer@gmail.com;396800
49;Matthew Evans;0660848891;MatthewEvans@gmail.com;277476
50;Nancy Anderson;0612339351;NancyAnderson@gmail.com;30408
